support,itemsets
0.11596711380354825,"frozenset({'Fireball', 'Skeletons'})"
0.14149718736477715,"frozenset({'Fireball', 'The Log'})"
0.1523150151449589,"frozenset({'Graveyard', 'Freeze'})"
0.17914322803980962,"frozenset({'Tornado', 'Freeze'})"
0.10212029424491562,"frozenset({'Valkyrie', 'Freeze'})"
0.10341843357853743,"frozenset({'Tornado', 'Giant Snowball'})"
0.10514928602336651,"frozenset({'Tornado', 'Goblin Cage'})"
0.10471657291215924,"frozenset({'The Log', 'Goblin Gang'})"
0.10774556469061013,"frozenset({'Goblin Gang', 'Zap'})"
0.10038944180008655,"frozenset({'Lightning', 'Golem'})"
0.13154478580700996,"frozenset({'Golem', 'Night Witch'})"
0.12765036780614453,"frozenset({'Tornado', 'Golem'})"
0.14409346603202078,"frozenset({'Poison', 'Graveyard'})"
0.10125486802250108,"frozenset({'The Log', 'Graveyard'})"
0.1934227607096495,"frozenset({'Tornado', 'Graveyard'})"
0.10688013846819559,"frozenset({'Graveyard', 'Valkyrie'})"
0.10558199913457378,"frozenset({'Hog Rider', 'The Log'})"
0.11553440069234097,"frozenset({'Ice Golem', 'Ice Spirit'})"
0.14063176114236262,"frozenset({'Skeletons', 'Ice Golem'})"
0.15577672003461704,"frozenset({'The Log', 'Ice Golem'})"
0.10731285157940286,"frozenset({'Tornado', 'Ice Golem'})"
0.18000865426222415,"frozenset({'Skeletons', 'Ice Spirit'})"
0.2003461704889658,"frozenset({'The Log', 'Ice Spirit'})"
0.1536131544785807,"frozenset({'Tornado', 'Ice Spirit'})"
0.1038511466897447,"frozenset({'Ice Spirit', 'Zap'})"
0.10990913024664647,"frozenset({'Ice Wizard', 'The Log'})"
0.1678926871484206,"frozenset({'Tornado', 'Ice Wizard'})"
0.10038944180008655,"frozenset({'Ice Wizard', 'Valkyrie'})"
0.10212029424491562,"frozenset({'Lightning', 'Magic Archer'})"
0.1475551709216789,"frozenset({'Lightning', 'Night Witch'})"
0.10774556469061013,"frozenset({'Lightning', 'Skeletons'})"
0.12332323669407183,"frozenset({'Lightning', 'The Log'})"
0.18217221981826048,"frozenset({'Lightning', 'Tornado'})"
0.11553440069234097,"frozenset({'Tornado', 'Lumberjack'})"
0.1081782778018174,"frozenset({'Magic Archer', 'Mega Knight'})"
0.17827780181739505,"frozenset({'Magic Archer', 'Miner'})"
0.1696235395932497,"frozenset({'Magic Archer', 'Night Witch'})"
0.11683254002596279,"frozenset({'Magic Archer', 'P.E.K.K.A'})"
0.13197749891821722,"frozenset({'Poison', 'Magic Archer'})"
0.13154478580700996,"frozenset({'Magic Archer', 'Rocket'})"
0.2431847684984855,"frozenset({'Magic Archer', 'Skeletons'})"
0.23712678494158373,"frozenset({'Magic Archer', 'The Log'})"
0.23669407183037647,"frozenset({'Tornado', 'Magic Archer'})"
0.17957594115101688,"frozenset({'Magic Archer', 'Valkyrie'})"
0.1449588922544353,"frozenset({'Magic Archer', 'Wall Breakers'})"
0.19125919515361314,"frozenset({'Magic Archer', 'Zap'})"
0.15534400692340977,"frozenset({'Mega Knight', 'Miner'})"
0.11683254002596279,"frozenset({'Skeletons', 'Mega Knight'})"
0.1237559498052791,"frozenset({'The Log', 'Mega Knight'})"
0.1592384249242752,"frozenset({'Tornado', 'Mega Knight'})"
0.12765036780614453,"frozenset({'Mega Knight', 'Wall Breakers'})"
0.1890956295975768,"frozenset({'Mega Knight', 'Zap'})"
0.11293812202509736,"frozenset({'Night Witch', 'Miner'})"
0.13760276936391172,"frozenset({'Poison', 'Miner'})"
0.23409779316313284,"frozenset({'Skeletons', 'Miner'})"
0.22241453916053655,"frozenset({'The Log', 'Miner'})"
0.23582864560796193,"frozenset({'Tornado', 'Miner'})"
0.20813500649069666,"frozenset({'Valkyrie', 'Miner'})"
0.22977066205106014,"frozenset({'Miner', 'Wall Breakers'})"
0.2626568585028126,"frozenset({'Miner', 'Zap'})"
0.1038511466897447,"frozenset({'Musketeer', 'The Log'})"
0.10082215491129382,"frozenset({'Musketeer', 'Zap'})"
0.1549112938122025,"frozenset({'Poison', 'Night Witch'})"
0.1635655560363479,"frozenset({'Night Witch', 'Rocket'})"
0.21462570315880572,"frozenset({'Skeletons', 'Night Witch'})"
0.237559498052791,"frozenset({'The Log', 'Night Witch'})"
0.3474686282994375,"frozenset({'Tornado', 'Night Witch'})"
0.10947641713543921,"frozenset({'Valkyrie', 'Night Witch'})"
0.14192990047598442,"frozenset({'Night Witch', 'Zap'})"
0.11466897446992644,"frozenset({'Poison', 'P.E.K.K.A'})"
0.11077455646906101,"frozenset({'Tornado', 'P.E.K.K.A'})"
0.13933362180874082,"frozenset({'P.E.K.K.A', 'Zap'})"
0.17827780181739505,"frozenset({'Poison', 'Skeletons'})"
0.18649935093033318,"frozenset({'Poison', 'The Log'})"
0.24361748160969277,"frozenset({'Tornado', 'Poison'})"
0.1367373431414972,"frozenset({'Poison', 'Valkyrie'})"
0.17265253137170056,"frozenset({'Poison', 'Zap'})"
0.20164430982258763,"frozenset({'Skeletons', 'Rocket'})"
0.25486802250108176,"frozenset({'The Log', 'Rocket'})"
0.260060579835569,"frozenset({'Tornado', 'Rocket'})"
0.13500649069666812,"frozenset({'Valkyrie', 'Rocket'})"
0.10601471224578105,"frozenset({'Zap', 'Rocket'})"
0.10298572046733016,"frozenset({'Royal Giant', 'Tornado'})"
0.12635222847252273,"frozenset({'Skeletons', 'Tesla'})"
0.39333621808740804,"frozenset({'The Log', 'Skeletons'})"
