antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Bats'}),frozenset({'Skeletons'}),0.3556901774123756,0.5097360450021635,0.2020770229337949,0.5681265206812652,1.1145504153602752,1.0,0.0207689186534927,1.1352027352344272,0.1595152459938193,0.3046314416177431,0.11910007881236015,0.4822805778278992
frozenset({'Bats'}),frozenset({'The Log'}),0.3556901774123756,0.5668541756815232,0.1986153180441367,0.5583941605839415,0.9850755000835792,1.0,-0.003009144270970182,0.9808426104401871,-0.022974259565817997,0.2743574417214584,-0.019531563327184018,0.4543879199866272
frozenset({'Bats'}),frozenset({'Tornado'}),0.3556901774123756,0.6603202077022934,0.1834703591518823,0.5158150851581509,0.7811590182178811,1.0,-0.05139905267472311,0.7015497217806906,-0.3030411417418451,0.2203742203742204,-0.42541571745160933,0.39683283746767306
frozenset({'Wall Breakers'}),frozenset({'Bats'}),0.24881003894418,0.3556901774123756,0.1912591951536131,0.7686956521739128,2.161138262985295,1.0,0.10275990825957763,2.785549984871306,0.7152396938924451,0.46282722513088986,0.6410044675446019,0.6532042737755208
frozenset({'Bats'}),frozenset({'Wall Breakers'}),0.3556901774123756,0.24881003894418,0.1912591951536131,0.5377128953771287,2.161138262985295,1.0,0.10275990825957763,1.6249424947049573,0.8338859023487473,0.46282722513088986,0.38459360669155795,0.6532042737755208
frozenset({'Bats'}),frozenset({'Zap'}),0.3556901774123756,0.4859368238857637,0.2224145391605365,0.6253041362530412,1.2868012990924116,1.0,0.04957158406140291,1.3719478271620194,0.34591936196177925,0.3591893780573025,0.27110930882220385,0.5415033593108483
frozenset({'Bomb Tower'}),frozenset({'Magic Archer'}),0.1752488100389441,0.38035482475119,0.1198615318044136,0.6839506172839505,1.7981909858284522,1.0,0.053204801374196434,1.960596062310687,0.5382054011462944,0.27507447864945367,0.48995103110559324,0.4995407238865712
frozenset({'Bomb Tower'}),frozenset({'Miner'}),0.1752488100389441,0.3989614885331025,0.1319774989182172,0.7530864197530865,1.8876168286869668,1.0,0.06205997280142514,2.434205971440936,0.5701494848020919,0.2984344422700588,0.5891884204819173,0.5419445113949815
frozenset({'Bomb Tower'}),frozenset({'Skeletons'}),0.1752488100389441,0.5097360450021635,0.1276503678061445,0.7283950617283952,1.4289651847659774,1.0,0.038319732485557687,1.8050627434011262,0.36397993846372767,0.22903726708074532,0.44600263694114856,0.4894097549728563
frozenset({'Bomb Tower'}),frozenset({'The Log'}),0.1752488100389441,0.5668541756815232,0.1047165729121592,0.5975308641975309,1.054117425313354,1.0,0.005376053158365701,1.0762212199324117,0.06224796857249407,0.16429056347589946,0.07082300415633744,0.39113184431250586
